Date,Open,High,Low,Close,Adj Close,Volume
2022-05-09,1.387530,1.393470,1.387500,1.387530,1.387530,0
2022-05-10,1.389750,1.392680,1.387380,1.389750,1.389750,0
2022-05-11,1.391190,1.391670,1.383630,1.391190,1.391190,0
2022-05-12,1.390230,1.397080,1.388300,1.390230,1.390230,0
2022-05-13,1.395800,1.397820,1.392600,1.395800,1.395800,0
2022-05-16,1.392650,1.396650,1.391700,1.392650,1.392650,0
2022-05-17,1.390770,1.391270,1.382800,1.390770,1.390770,0
2022-05-18,1.384470,1.388360,1.383500,1.384470,1.384470,0
2022-05-19,1.391320,1.391720,1.378200,1.391320,1.391320,0
2022-05-20,1.380920,1.382490,1.376500,1.380920,1.380920,0
2022-05-23,1.378950,1.379100,1.372000,1.380000,1.380000,0
2022-05-24,1.374270,1.376680,1.371030,1.374270,1.374270,0
2022-05-25,1.370970,1.377720,1.370960,1.370970,1.370970,0
2022-05-26,1.374300,1.377560,1.373000,1.374300,1.374300,0
2022-05-27,1.372450,1.373620,1.367700,1.372450,1.372450,0
2022-05-30,1.367900,1.368590,1.365500,1.367900,1.367900,0
2022-05-31,1.366600,1.372770,1.366400,1.366600,1.366600,0
2022-06-01,1.369850,1.375790,1.369340,1.369850,1.369850,0
2022-06-02,1.374600,1.377570,1.371100,1.374600,1.374600,0
2022-06-03,1.370000,1.376420,1.368740,1.370000,1.370000,0
2022-06-06,1.375040,1.376690,1.372170,1.375040,1.375040,0
2022-06-07,1.376950,1.379830,1.373400,1.376950,1.376950,0
2022-06-08,1.374000,1.376690,1.373800,1.374000,1.374000,0
2022-06-09,1.376160,1.380690,1.374200,1.376160,1.376160,0
2022-06-10,1.382520,1.387690,1.379400,1.382520,1.382520,0
2022-06-13,1.391190,1.392630,1.388000,1.391190,1.391190,0
2022-06-14,1.393840,1.394130,1.389000,1.393840,1.393840,0
2022-06-15,1.392100,1.393450,1.389400,1.392100,1.392100,0
2022-06-16,1.385700,1.391940,1.384250,1.385700,1.385700,0
2022-06-17,1.382900,1.391120,1.382900,1.382900,1.382900,0
2022-06-20,1.388410,1.389310,1.385000,1.388410,1.388410,0
2022-06-21,1.387600,1.388580,1.383800,1.387600,1.387600,0
2022-06-22,1.385510,1.390300,1.385600,1.385510,1.385510,0
2022-06-23,1.387120,1.391500,1.386500,1.387120,1.387120,0
2022-06-24,1.389160,1.391050,1.385100,1.389160,1.389160,0
2022-06-27,1.385520,1.386420,1.383300,1.385520,1.385520,0
2022-06-28,1.385360,1.387870,1.384040,1.385360,1.385360,0
2022-06-29,1.387470,1.392820,1.386800,1.387470,1.387470,0
2022-06-30,1.392640,1.394370,1.390100,1.392640,1.392640,0
2022-07-01,1.390140,1.399670,1.389700,1.390140,1.390140,0
2022-07-04,1.395200,1.397640,1.394100,1.395200,1.395200,0
2022-07-05,1.395620,1.407140,1.394400,1.395620,1.395620,0
2022-07-06,1.404800,1.406370,1.400750,1.404800,1.404800,0
2022-07-07,1.404400,1.405420,1.399100,1.404400,1.404400,0
2022-07-08,1.400230,1.404780,1.397500,1.400230,1.400230,0
2022-07-11,1.398840,1.405840,1.398900,1.398840,1.398840,0
2022-07-12,1.404970,1.407900,1.404300,1.404970,1.404970,0
2022-07-13,1.407580,1.409340,1.402950,1.407580,1.407580,0
2022-07-14,1.407010,1.409460,1.393740,1.407010,1.407010,0
2022-07-15,1.402600,1.405510,1.398500,1.402600,1.402600,0
2022-07-18,1.397790,1.399280,1.394100,1.397790,1.397790,0
2022-07-19,1.396900,1.398750,1.390200,1.396900,1.396900,0
2022-07-20,1.391380,1.394180,1.389800,1.391380,1.391380,0
2022-07-21,1.392980,1.395720,1.390160,1.392980,1.392980,0
2022-07-22,1.389400,1.391790,1.385380,1.389400,1.389400,0
2022-07-25,1.389000,1.390110,1.383700,1.389000,1.389000,0
2022-07-26,1.386030,1.390160,1.384100,1.386030,1.386030,0
2022-07-27,1.389000,1.389560,1.386200,1.389000,1.389000,0
2022-07-28,1.381700,1.384120,1.380400,1.381700,1.381700,0
2022-07-29,1.379100,1.385870,1.376550,1.379100,1.379100,0
2022-08-01,1.381500,1.382320,1.375200,1.381500,1.381500,0
2022-08-02,1.376200,1.381330,1.375520,1.376200,1.376200,0
2022-08-03,1.383700,1.384550,1.379490,1.383700,1.383700,0
2022-08-04,1.380790,1.380850,1.376400,1.380790,1.380790,0
2022-08-05,1.375350,1.383060,1.374800,1.375350,1.375350,0
2022-08-08,1.382120,1.383070,1.376700,1.382120,1.382120,0
2022-08-09,1.378250,1.379380,1.376400,1.378250,1.378250,0
2022-08-10,1.378300,1.379770,1.367400,1.378300,1.378300,0
2022-08-11,1.368800,1.372620,1.366540,1.368800,1.368800,0
2022-08-12,1.369600,1.372240,1.368600,1.369600,1.369600,0
2022-08-15,1.370600,1.377320,1.369900,1.370600,1.370600,0
2022-08-16,1.378120,1.380510,1.376200,1.378120,1.378120,0
2022-08-17,1.378600,1.384220,1.377300,1.378600,1.378600,0
2022-08-18,1.381400,1.385520,1.379960,1.381400,1.381400,0
2022-08-19,1.385500,1.392180,1.385000,1.385500,1.385500,0
2022-08-22,1.392100,1.398970,1.392100,1.392100,1.392100,0
2022-08-23,1.397000,1.400100,1.389060,1.397000,1.397000,0
2022-08-24,1.392650,1.396670,1.392220,1.392650,1.392650,0
2022-08-25,1.393600,1.394400,1.388000,1.393600,1.393600,0
2022-08-26,1.389200,1.393700,1.386700,1.389200,1.389200,0
2022-08-29,1.397260,1.400450,1.393700,1.397260,1.397260,0
2022-08-30,1.395240,1.399000,1.394000,1.395240,1.395240,0
2022-08-31,1.397600,1.399060,1.393700,1.397600,1.397600,0
2022-09-01,1.398630,1.403080,1.397890,1.398630,1.398630,0
2022-09-02,1.401540,1.402930,1.398480,1.401540,1.401540,0
2022-09-05,1.403300,1.406120,1.402290,1.403300,1.403300,0
2022-09-06,1.402130,1.407970,1.400400,1.402130,1.402130,0
2022-09-07,1.406940,1.410650,1.406200,1.406940,1.406940,0
2022-09-08,1.405090,1.408200,1.403200,1.405090,1.405090,0
2022-09-09,1.403850,1.403970,1.396060,1.403850,1.403850,0
2022-09-12,1.398000,1.399780,1.394520,1.398000,1.398000,0
2022-09-13,1.395300,1.405970,1.393500,1.395300,1.395300,0
2022-09-14,1.405600,1.406830,1.402600,1.405600,1.405600,0
2022-09-15,1.405400,1.409400,1.404500,1.405400,1.405400,0
2022-09-16,1.409200,1.411270,1.405800,1.409200,1.409200,0
2022-09-19,1.405600,1.410790,1.405200,1.405600,1.405600,0
2022-09-20,1.407420,1.411000,1.406000,1.407420,1.407420,0
2022-09-21,1.410170,1.416150,1.409700,1.410170,1.410170,0
2022-09-22,1.418400,1.422000,1.414500,1.418400,1.418400,0
2022-09-23,1.417940,1.428880,1.417000,1.417940,1.417940,0
2022-09-26,1.430080,1.436890,1.429500,1.430080,1.430080,0
2022-09-27,1.436260,1.438750,1.433700,1.436260,1.436260,0
2022-09-28,1.438680,1.448980,1.436890,1.438680,1.438680,0
2022-09-29,1.436440,1.444040,1.433900,1.436440,1.436440,0
2022-09-30,1.431250,1.436440,1.429710,1.431250,1.431250,0
